Ingredients,Allergy name,Allergens
"bananas, vegetable oil (coconut oil, corn oil and/or palm oil) sugar, natural banana flavor.","coconut allergy (uncommon), corn allergy (uncommon)","coconut, corn"
"peanuts, wheat flour, sugar, rice flour, tapioca starch, salt, leavening (ammonium bicarbonate, baking soda), soy sauce (water, soybeans, wheat, salt), potato starch.","peanut allergy, soy allergy, wheat allergy","peanuts, soy, wheat"
"organic hazelnuts, organic cashews, organic walnuts almonds, organic sunflower oil, sea salt.","almond allergy, cashew allergy, hazelnut allergy, walnut allergy","almonds, cashews, hazelnuts, walnuts"
organic polenta,none,none
"rolled oats, grape concentrate, expeller pressed canola oil, sunflower seeds, almonds, walnuts oat bran, sesame seeds, cashews, natural vitamin e.","sesame allergy, tree nut allergy","cashews, sesame seeds, tree nuts,almonds, walnuts"
organic long grain white rice,rice allergy (uncommon),rice
"org oats, org hemp granola (org oats, evaporated cane juice, org expeller-pressed canola oil, crispy rice [org brown rice flour, org evaporated cane juice, org molasses, sea salt], org flax seeds, org oat solids, hemp seeds), org raisins, org dates, org almonds, org hazelnuts, org coconut, org sunflower seeds, org pumpkin seeds, org flax seeds, org corn flakes (org corn meal, org grape and/or pear juice concentrate, sea salt), org quinoa amaranth flakes (org corn meal, org yellow corn flour, org evaporated cane juice, org flax, org buckwheat flour, org quinoa, org amaranth, sea salt, tocopherols [natural vitamin e]).","coconut allergy (uncommon), corn allergy (uncommon), oat allergy (uncommon), pumpkin seed allergy (uncommon), sunflower seed allergy (uncommon), tree nut allergy ","almonds, coconut, corn, hazelnuts, oats, pumpkin seeds, sunflower seeds"
"organic chocolate liquor, organic raw cane sugar, organic cocoa butter, organic unrefined whole cane sugar, organic ground vanilla beans.",none,none
"organic expeller pressed, refined high oleic sunflower oil",sunflower allergy (uncommon),sunflower
organic adzuki beans,adzuki bean allergy (uncommon),adzuki beans
organic refined durum semolina wheat flour,"gluten allergy (uncommon), wheat allergy",wheat
"roasted peanuts (peanuts, peanut or canola oil, salt), sesame sticks (unbleached wheat flour, sesame seeds, sunflower oil, sa;t, beet powder, turmeric), chili crackers (rice, corn starch, soy sauce[water, soybeans, wheat, salt], brown rice syrup, paprika, onion powder, garlic powder), tamari roasted almonds (almonds, tamari shoyu [water, wheat, soybeans, salt]), salt","almond allergy (uncommon), gluten allergy (uncommon), peanut allergy, soy allergy, wheat allergy","almonds, peanuts, soy, wheat"
organic golden flax seeds,flaxseed allergy (rare),flaxseed
"organic dry roasted pumpkin seeds, tamari (soybeans, water and salt), garlic and cayenne.","pumpkin seed allergy (rare), soy allergy, wheat allergy","pumpkin seeds, soy"
"organic rolled oats, honey, raisins, almonds, sunflower seeds, walnuts, wheat germ, unrefined expeller-pressed safflower oil, molasses, cinnamon","nut allergy (including almond and walnut), oat allergy (rare), wheat allergy","almonds, oats, walnuts"
organic raw hazelnuts.,hazelnut allergy (common),hazelnut
"organic bananas, organic coconut oil, organic sugar",coconut allergy (rare),coconut
organic brown jasmine rice,rice allergy (uncommon),rice
organic oat groats,oat allergy (uncommon),oats
"yogurt raisins, tamari roasted almonds, organic tamari roasted soy nuts, dark chocolate stars, cranberries, dark chocolate chips, peanut butter chips, milk chocolate raisins, pineapple, papaya, peanut butter peanuts & raisins, roasted peanuts.","dairy allergy, lactose intolerance, peanut allergy, soy allergy","milk, peanuts, soy"
"chocolate stars (dehydrated cane juice, sweetened chocolate, cocoa butter, soy lecithin [an emulsifier], natural vanilla), roasted peanuts (peanuts, safflower, peanut, and/or canola oil, salt), dry roasted almonds (almonds, sea salt), dry roasted cashews (cashews, sea salt), dried cranberries (cranberries, evaporated cane juice, sunflower oil), dried cherries, walnuts, dried blueberries (blueberries, evaporated cane juice, sunflower oil).","cashews, dairy allergy, lactose intolerance, peanut allergy, soy allergy, tree nut allergy (includes almonds, walnuts)","almonds, cashews, peanuts, soy, walnuts"
